,CircleNum,ID,Name,Lat,Lng,CategoryID,Category
0,1,58a8f293e9233e6cb79f5275,924 OSR,35.678598,-79.186766,56aa371ce4b08b9a8d57356c,Beer Bar
1,2,5a85bb81c5309372ae0e461a,Rock Ridge Disc Golf Course,35.676412,-79.18123100000001,52e81612bcbc57f1066b79e8,Disc Golf
2,2,4ed2971230f81894b0f1cd0e,Rock Ridge Park,35.67639015299761,-79.18175513461831,4bf58dd8d48988d163941735,Park
3,11,4f9dedb4e4b05baf798c4a36,eagles cove,35.68409152693917,-79.08284508000315,4bf58dd8d48988d161941735,Lake
4,13,4d067f829d33a14387a5c678,Overlook On New Hope Trail,35.68401910206875,-79.04991477321332,4bf58dd8d48988d165941735,Scenic Lookout
5,14,531c9b21498ecda931efd44a,new Hope Overlook,35.68220282303513,-79.0483421767226,52e81612bcbc57f1066b7a13,Nature Preserve
6,14,4ffa05f3e4b083d14d6e7a4f,New Hope Trail,35.682529060368985,-79.04805779457092,4bf58dd8d48988d159941735,Trail
7,14,4d067f829d33a14387a5c678,Overlook On New Hope Trail,35.68401910206875,-79.04991477321332,4bf58dd8d48988d165941735,Scenic Lookout
8,23,5a628d0567e5f251ed2f2853,Minas Tirith,35.68082969143581,-78.94638061523438,4bf58dd8d48988d116941735,Bar
9,23,544c0527498e8a82d6631150,Ghost Train!,35.676943,-78.945062,52e81612bcbc57f1066b7a23,Forest
10,24,5ee9ab70f2d8e50008ab29c3,United States Postal Service,35.68112825342189,-78.93464260179826,4bf58dd8d48988d172941735,Post Office
11,24,4e4004b31495bf24a5fb38ee,New Hill Store,35.68131217624733,-78.93459465516807,4d954b0ea243a5684a65b473,Convenience Store
12,27,4fdbc351e4b08a6fe3e1e4c4,The Ray Farm,35.684372487212144,-78.89771755728405,4bf58dd8d48988d15b941735,Farm
13,27,4d42f117f81e8cfa0696f956,Kilcastle Farms,35.685433,-78.90294300000001,4bf58dd8d48988d15b941735,Farm
14,30,4b71f7e7f964a52056672de3,Wake County Firearms Education and Training  Center,35.6773588327854,-78.86256304352672,4bf58dd8d48988d130941735,Building
15,30,5e41816373419e0008876906,12 Oaks - The Enclave Collection by Meritage Homes,35.67926124457857,-78.86591353631047,4f2a210c4b9023bd5841ed28,Housing Development
16,30,5da5cca173fe3b000870e83d,Stanley Martin Homes at 12 Oaks,35.678779,-78.870248,545419b1498ea6ccd0202f58,Home Service
17,31,4b71f7e7f964a52056672de3,Wake County Firearms Education and Training  Center,35.6773588327854,-78.86256304352672,4bf58dd8d48988d130941735,Building
